size,young_memcpy_GBps,young_to_old_memcpy_GBps,nt128_GBps,nt256_GBps,nt128_sfence_each_GBps,young_memcpy_ns,young_to_old_memcpy_ns,nt128_ns,nt256_ns,nt128_sfence_each_ns,checksum
   16,   16.860,   13.033,    0.078,    9.497,    0.078,     0.88,     1.14,   191.63,     1.57,   191.73,14688452608
   32,   31.213,   15.750,    0.154,    0.155,    0.156,     0.95,     1.89,   192.98,   192.33,   191.44,7344226304
   64,   50.805,   19.074,    0.305,    0.306,    0.308,     1.17,     3.12,   195.66,   194.49,   193.46,3672113152
   96,   33.910,   13.854,    0.480,    0.484,    0.499,     2.64,     6.45,   186.14,   184.73,   179.25,2448074783
  128,   43.209,   16.993,    0.646,    0.647,    0.625,     2.76,     7.02,   184.53,   184.31,   190.74,1836056576
  192,   32.324,   16.976,    0.972,    0.972,    0.950,     5.53,    10.53,   184.04,   183.89,   188.31,2376072434
  256,   56.676,   19.958,    1.297,    1.300,    1.263,     4.21,    11.95,   183.81,   183.45,   188.79,1782054912
  512,   59.980,   20.746,    2.593,    2.596,    2.535,     7.95,    22.98,   183.89,   183.65,   188.07,891027456
 1024,   67.993,   21.224,    5.148,    5.158,    5.122,    14.03,    44.93,   185.27,   184.91,   186.20,445513728
 2048,   72.940,   20.499,   10.196,   10.231,    9.959,    26.15,    93.04,   187.06,   186.42,   191.51,222756864
 4096,   78.879,   14.636,   19.371,   20.391,   19.225,    48.36,   260.63,   196.93,   187.08,   198.42,111378432
 8192,   83.491,   16.020,   34.861,   36.439,   34.077,    91.38,   476.24,   218.85,   209.38,   223.89,55689216
16384,   86.510,   17.542,   49.471,   54.215,   47.762,   176.38,   869.82,   308.44,   281.45,   319.47,27844608
pollution,64,base_ms=0.752,after_young_memcpy_ms=0.750,after_old_memcpy_ms=0.751,after_nt_ms=0.760,checksum=864026624
pollution,256,base_ms=0.771,after_young_memcpy_ms=0.751,after_old_memcpy_ms=0.752,after_nt_ms=0.751,checksum=864026624
pollution,4096,base_ms=0.752,after_young_memcpy_ms=0.750,after_old_memcpy_ms=0.756,after_nt_ms=0.750,checksum=864026624
